car,Avg_price
Samand,4749.5
Maserati,110000.0
Lexus,27743.190804597703
Lancia,2166.6666666666665
Ð›UAZ,2257.7916666666665
Dacia,4891.791666666667
Fisker,0.0
Groz,4400.0
Aston Martin,105000.0
Barkas,5500.0
Rover,12512.5
Hyundai,12457.30589918256
Infiniti,27741.494375000002
Lifan,3800.0
MG,9149.5
Moskvich-AZLK,1629.1666666666667
Lincoln,16500.0
Jaguar,24791.644736842107
Tesla,99509.09090909091
ZX,7700.0
Toyota,21839.571541219964
Acura,18554.384615384617
Saab,7000.0
Huanghai,8500.0
Kia,12216.000693023258
GMC,17666.0
Samsung,6299.0
SMA,2900.0
Chery,4404.671698113208
Mazda,10111.64217171717
Audi,17882.75273522976
ZAZ,3153.5678333333326
Aro,3600.0
Alfa Romeo,9040.818181818182
Dodge,17768.75
UAZ,4551.428571428572
TATA,12900.0
Opel,6253.97
Dadi,5550.0
Ferrari,167500.0
Suzuki,10855.063793103449
Volkswagen,12732.631693589743
Porsche,45606.782608695656
Wartburg,1000.0
Changan,6028.0
Daewoo,3757.6555319148933
Mercedes-Benz,28314.937024972856
Honda,13523.89978276699
Isuzu,9980.0
Renault,7812.404896695095
Buick,3500.0
Citroen,8215.226201388889
JAC,8350.0
Geely,6253.815089285715
BMW,22677.912463976947
Smart,6770.497234210527
SsangYong,14252.015222222224
Mitsubishi,11157.539143730888
Peugeot,8704.923076923076
Bentley,197504.625
Chrysler,9557.875
Cadillac,70833.33333333333
Other-Retro,12700.0
Lamborghini,130000.0
Moskvich-Izh,1176.10259
MINI,17667.666666666668
Rolls-Royce,65000.0
Fiat,6473.388655462185
FAW,4900.0
Skoda,10703.783621059783
Great Wall,8555.555555555555
Ford,10448.150968571428
Daihatsu,6600.0
Seat,8414.076923076924
Hummer,28440.0
Nissan,14109.54317527174
VAZ,2830.7452965235175
Land Rover,50557.45033112583
Bogdan,4950.0
BYD,8114.142857142857
Volvo,18586.5625
Subaru,13873.631578947368
GAZ,3225.377941176471
Chevrolet,10163.843125
Mercury,10000.0
Hafei,6100.0
Jeep,25647.52
